角色,台词编号,台词文本,立绘
03,0052,老板别急，我去清线守高地，你复活后直接带线拿龙，这局能翻，信我。,
00,0053,说话的同时，他还不忘在公屏安抚队友，主动揽下责任。,
00,0054,在他的指挥下，你们成功抗住了敌方的强推，并在你复活后完成了一波漂亮的反打。,
00,0055,敌方水晶轰然炸裂，金色光芒在屏幕正中央凝成“胜利”徽章。,
00,0056,之后你们又开了几局，为了进一步考验他，你选了几个自己不太擅长的角色。,
00,0057,但不管你玩什么，都影响不了最终获胜的结果。,
00,0058,确实有点意思，无论是游戏，还是时安。,
00,0059,但比起复盘对局，或许你对复盘他的表现更感兴趣。,
00,0060,技术好坏暂且不论，单论情绪价值，他无可挑剔。,
00,0061,与常见的讨好型情绪输出不同，他应该特意进行过情绪控制训练。,
00,0062,具体如何，还需要更深入的了解。,
00,0063,……,
00,0064,时间飞快地流逝，转眼就过了三小时。,
00,0065,【抉择选项】正常结算,
00,0066,系统提示服务结束的瞬间，你顺手挂断了通话。,
00,0067,屏幕顶端，支付成功的绿色勾号一闪而逝。,
00,0068,你顺手切回后台正在运行的录制软件，将时间轴检查了一遍，全程音画同步，没有断录，波形平稳。,
00,0069,还好，目前一切正常。,
00,0070,你拖动着进度条，将画面拉到印象里几个高光画面的节点，逐帧回看。,
00,0071,再回看与对局时的感觉截然不同。,
00,0072,刚才你是参与者，所有注意力都集中在自己的血条和技能冷却上；,
00,0073,而现在你是旁观者，对局中的每一处细节都看得清晰。,
00,0074,尤其是自认为发挥亮眼的那几波操作，在反复拉片后，又逐渐显露出另一层轮廓——,
00,0075,看似是你抓住了完美时机切入团战，在慢放后才发现，,
00,0076,是他先一步预判了对方技能，替你扛下硬控，你才能丝滑地进场收割。,
00,0077,还有一次被包夹下的撤退，一帧帧拆开分析，,
00,0078,是他在你交位移的前一秒，提前向侧翼打出减速，逼退了那个本可以留下你的人。,
00,0079,你在地图上的每一场遭遇战，背后都藏着他早已规划好的接应点。,
00,0080,怪不得几局打下来，你始终觉得舒心。,
00,0081,哪怕有些队友在公屏对你进行言语压力，那些声音最终也没能真正落到你身上，全被他不动声色地挡回过去。,
00,0082,他用三言两语就将矛盾软化，把指责转为提醒，方方面面都凸显着对你的维护。,
00,0083,其实游玩过程中你根本没注意到这些，毕竟只是娱乐局，你也就全凭着自己的心意去操作。,
00,0084,因为想减少对样本的干扰，游玩全程你讲话的次数屈指可数，但即便同时沉默，也并不会尴尬。,
00,0085,这种感觉着实奇妙，你和一个连长相、名字都不知道的陌生人相处了三小时。,
00,0086,虽然大部分时间里只有击打声和技能音效，你却觉得前所未有的松弛。,
00,0087,之前很多二手资料里提及“游戏里的社交更舒服”，你一直把这种舒服归结于不用见面或是不用负责。,
00,0088,直到此刻，你有些明白了。,
00,0089,真正让人上瘾的，是可以摘下社交假面，无需为了顾全某种局面而处处顾忌。,
00,0090,现实生活中，存在着太多社交枷锁。,
00,0091,人们总是要扮演好亲人、友人、爱人等角色，释放情绪是奢侈的、是需要挑选合适时间地点的。,
00,0092,而时安这样的人，就像是一个“情绪容器”。,
00,0093,他所提供的，是当代人在现实中求而不得的“无条件接纳”。,
00,0094,但这究竟是整个陪玩行业的普遍素养，还是属于他个人的特例？,
00,0095,在没有其他数据支撑前你无法断言，还需更多的参照样本。,
00,0096,但，你突然意识到自己的调研方向有些偏颇。,
00,0097,付费陪玩的本质是花钱买服务，它充其量只能算作是私人定制化的“拟态社交”。,
00,0098,在游戏生态里，不掺杂利益的玩家社交，才是最具普适性的情况。,
00,0099,可真这样做，无疑要投入高昂的时间成本。,
00,0100,眼下既已取巧用钱换了效率，那不如顺势将选题的切口细化，把话题聚焦于“金钱交易下的虚拟情感劳作”。,
00,0101,修改完选题方向，你心满意足。,
00,0102,下一次取材，一定比今天更有收获。,
00,0103,【抉择选项】续费体验,
00,0104,你体验到了躺赢的乐趣，一下腰不酸了，脖子也不痛了，觉也不想睡了，只想着再多打几把。,
00,0105,肾上腺素，很神奇吧。,
00,0106,你不假思索地又续了三个小时，刚刚为了考验他的操作不得不藏拙降水准，而现在……,
00,0107,你关掉了碍事的录制软件，开着着实影响你的发挥，更何况你本就应该好好放松。,
00,0108,工作？什么工作。,
00,0109,你活动活动手腕，准备大杀四方。,
00,0110,进入状态的你在游戏世界里大展拳脚、走位飘渺，连时安都不禁对你突飞猛进的水平称赞连连。,
00,0111,对此你只是谦虚地不说话，装高手。,
00,0112,而时安也敏锐地捕捉到了你的状态变化，自觉从技术兜底型切换成了陪伴引导型。,
00,0113,他不说“老板好厉害”这种毫无指向性的空话，而是会认真捕捉你操作里的每一个闪光点，,
00,0114,哪怕只是下意识走位躲掉了敌方的大招，或是歪打正着的补控打断了对方的技能，,
00,0115,只要他目睹了，都会细致地指明。,
00,0116,他确实有在关注你，努力给你提供更好的游戏体验。,
00,0117,所以当时常结算弹出来的时候，你还有些意犹未尽。,
00,0118,原本打算再续三小时，却被时安以明早有事为由，婉拒了续费申请。,
00,0119,你还想保持火热的手感，只好去找其他陪玩。,
00,0120,可不知是不是运气耗尽，你接连遇到了索要礼物的、脾气爆的、爱说教的……,
00,0121,和先前的轻松惬意相比，接下来的几个小时如酷刑般难熬。,
00,0122,尤其是最后那位陪玩，他的操作尚且不如你，却偏偏长了一张停不下来的嘴。,
00,0123,你补刀慢了，他立刻说“这里应该先A兵再放技能”；,
00,0124,你走位躲掉了对方的技能，他又说“其实你刚才往左边闪更安全”；,
00,0125,就连你随手选了个想练的角色，他都要对你指手画脚，从技能加点讲到出装顺序。,
00,0126,游玩的全程更是喋喋不休，自己操控的角色死亡时还总要各种找理由。,
00,0127,不等服务时长走完，你一个没忍住，直接点了结算。,
00,0128,耳根子终于清净的同时，你也意识到了并非所有陪玩都像时安那般专业。,
00,0129,你重新评估了手上现有素材的价值，那些负面样本虽然覆盖了常见的行业问题，,
00,0130,但本质上都是职业素养的缺失，没有深挖的空间。,
00,0131,就算写出来，也不过是一篇不痛不痒的行业吐槽，根本撑不起你想要的深度。,
00,0132,于是你很快做出了判断，放弃广撒网的横向调研，转而对时安进行纵向的深度追踪。,
00,0133,这不仅更有效率，也能让你在接下来的调研过程中，获得舒适的游戏体验。,
00,0134,毕竟，没有人能拒绝花钱买开心。,
00,0135,【抉择选项】打赏礼物,
00,0136,时长结算界面一弹出，你随手点开打赏栏，刷了一个三位数的虚拟礼物。,
00,0137,破空声接二连三响起，紧接着是连环的沉闷声响。,
00,0138,五颜六色的烟花一朵接一朵地炸开，金红色的火星如瀑布般倾泻而下。,
00,0139,夸张的光效闪得你眯起眼睛，整个屏幕也跟着烟花的节奏闪烁。,
00,0140,当最后一缕火光消散，屏幕上只剩下一行烫金大字：赠送[时安]盛世烟花×1。,
00,0141,耳机那头陷入短暂沉默，随即传来他窘迫的声音，像在困惑自己何德何能：,
03,0142,谢谢老板的打赏，不过您出手这么大方，倒让我觉得……刚才的服务还不够周到，受之有愧了。,
00,0143,你靠在椅背上，胜利带来的喜悦让你的语气也不自觉地染上几分棋逢对手的欣赏：,
01,0144,打得不错，你的情绪控制很完美，是不可多得的优质样本。,
00,0145,耳机那头再度安静，他似乎在消化你话里的深意。,
00,0146,沉寂片刻，他的声音重新响起，语调比刚才多了些轻快：,
03,0147,原来是这样，很高兴能为老板的事业添砖加瓦。您还需要素材的话，请随时联系我。,
00,0148,添砖加瓦。,
00,0149,他的用词很巧妙，既把自己放在了辅助的位置上，又保持了不卑不亢的态度，谦逊却不卑微。,
00,0150,他没有因为被当成工具人心生不满，始终保持着专业的态度。,
00,0151,直到你主动挂断通话，他摘下耳机时，眼前还晃着烟花绽开后残留的彩色光斑。,
00,0152,他专注地看完了那场炫目的、只为他燃起的烟花，直到眼睛发酸才恍然惊觉自己竟忘了眨眼。,
00,0153,他揉了揉眉心，那抹不受控制上扬的嘴角，却泄露了他心底泛起的波澜。,
00,0154,由于学业压力和另外几份零碎兼职的拉扯，他无法做到全天候在线。,
00,0155,虽然之前也有过几位老板邀请他做固定陪玩，但他深知自己给不了对方想要的稳定，便都婉言拒绝了。,
00,0156,但现实远比游戏残酷得多，没了固定单源的他，很快就被蜂拥入行的新人取代。,
00,0157,他已经太久没开单，那些昂贵的打赏礼物，他没见过，也不敢奢求。,
00,0158,然而那抹笑意也没能维持太久，随之而来的是后知后觉的自省与懊恼。,
00,0159,他越想越觉得泄气，只恨自己刚才表现得太过拘谨，甚至有些冷淡？,
00,0160,他拿不准你会不会介意他的态度，更不知道下一次，自己还能不能有幸在你的素材库里占据一席之地。,
00,0161,……,
00,0162,网络那端的辗转反侧与百转千回，你自然是无从知晓的。,
00,0163,只是当你清晨拿起手机时，屏幕上静静地躺着一条短讯，发送时间是你早已沉入安眠、万籁俱寂的深夜：,
03,0164,晚安老板，好梦。,
