台词角色,台词编号,台词文本,立绘
00,0657,半小时后，市中心医院，充斥着刺鼻消毒水味的急诊室走廊。,
00,0658,许映月主动揽下了去前台缴费和办手续的活，你坐在急诊室外的金属长椅上，,
00,0659,浓烈刺鼻的消毒水味钻进鼻腔，头顶悬挂着几盏刺目的白炽灯，晃得人眼底发酸。,
00,0660,就在这令人窒息的死寂中，一阵急促到近乎踉跄的脚步声，从走廊尽头跌撞而来。,
00,0661,你下意识地循声抬起头，视线触及来人的那一刻 ——,
00,0662,竟是温叙，他身上再也找不到半分平日里清风霁月的影子。,
00,0663,因为跑得太急，他连外套都没来得及穿，秋日的夜里，只穿着单薄的白衬衫，领口也微敞着。,
00,0664,往日打理得一丝不苟的发丝，已被冷汗完全濡湿，狼狈地贴在额角。,
00,0665,那双向来波澜不惊的眸此刻红得骇人，双唇也因为心悸与恐慌而褪尽了血色。,
00,0666,几乎立刻你就对上了电话那头是谁的声音，你站起身，快步迎了上去。,
01,0667,温叙，这边！阿姨是突发低血压导致的晕厥，已经脱离危险了，你别太着急。,0000
00,0668,闻言，温叙脱力般地靠向墙壁，像是一路狂奔耗尽了所有力气。,
00,0669,他任由急促粗重的喘息声回荡在走廊里，将胸腔里的后怕与绝望一点点倾泻出来。,
00,0670,短暂的几秒平息后，他突然猛地直起身，眼底的情绪剧烈翻涌。,
00,0671,下一秒，他直接上前一步，紧紧地握住了你的手。,
00,0672,被他抓住的那一刻，刺骨的凉意顺着相贴的肌肤传导过来。,
00,0673,他的手微微发着抖，似乎想通过握紧你来汲取一丝暖意。,
06,0674,谢谢…… 真的谢谢你……,0000
00,0675,他的嗓音嘶哑得不成样子，余悸未消的庆幸与恐惧交织在一起，在喉间碾作不成句的字节。,
00,0676,他低着头，将所有狼狈掩藏在阴影里。,
00,0677,可即便看不清面容，你也能真切地感受到他在极力控制着自己，控制着那些快要决堤的脆弱。,
00,0678,下一秒，他缓缓抬眸。,
00,0679,视线与你相撞的刹那，时间仿佛被无限拉长。,
00,0680,周遭的喧嚣尽数退去，只有他的目光，牢牢地锁住了你，一眼万年。,
00,0681,由于距离很近，你从中捕捉到了他眼底尚未退潮的异样。,
00,0682,那里除了流于表面的感激，似乎还暗藏着某种无法解读的情愫。,
00,0683,就好像你对他的意义，远不止 “救命恩人” 那么简单。,
00,0684,【抉择选项】冷静地抽回手，递给他纸巾,
00,0685,手上传来的痛感让你迅速找回了理智，他握得太紧，你的手指都有些发麻。,
00,0686,你轻轻挣开了他，从包里翻出一包纸巾递过去：,
01,0687,举手之劳而已，刚好被我和我朋友碰上。,0000
01,0688,先擦擦汗，阿姨还需要你照顾，你得先撑住自己。,0000
00,0689,手心里的温度抽离，温叙眼底的光似乎也跟着黯淡了。,
00,0690,那一瞬间，他像是被抽走了什么很重要的东西，眼神里闪过一丝不可名状的落寞。,
00,0691,他接过纸巾，默默捏紧在掌心：,
06,0692,好…… 你说的对，我必须得撑住。,0000
00,0693,他深吸一口气，努力把自己整理成那个你熟悉的、从容不迫的温叙。,
00,0694,但他转身走向病房的背影，依然透着一股让人心疼的脆弱。,
00,0695,你站在冷清的走廊里，看着病房门在眼前轻轻合上，拿出手机准备跟许映月碰头。,
00,0696,然而，刚解锁手机，温叙的消息就先一步跳了出来，带着一种生怕怠慢的急切：,
06,0697,刚才太着急忘了问，医药费是你垫付的吗？一共多少，我转给你。,
01,0698,医药费是我朋友先帮忙垫的，您要是方便的话，我把她微信推给您，您直接转给她就可以了。,
00,0699,你斟酌了措辞，顾忌着他的身份，怕给他带来麻烦，但此刻的温叙显然没心思考虑这些：,
06,0700,方便的，麻烦你了。,
00,0701,你顺手将许映月的名片推了过去，切出聊天框，给她发了条语音：,
01,0702,刚才病人家属问医药费的事，我把你微信推给他了，等下他会加你把钱转过去。,0000
02,0703,OKOK，对了，那个阿姨没事吧？,
02,0704,你那边搞定了吗，我在一楼缴费区等你。,
01,0705,已经脱离危险了，我这就下来。,
00,0706,你正准备熄屏去找她，结果她连珠炮般发来好几条消息，满屏的感叹号几乎要溢出屏幕：,
02,0707,我去！！他转了一万一！！！[惊恐.jpg],
02,0708,备注写的是医药费加感谢费！他是不是手抖打多了？！,
02,0709,吓得我赶紧去看了支付记录，明明就是 827.4 啊！这多出来的一万多我怎么敢收啊！,
00,0710,你看着屏幕上那一排刺眼的感叹号，还没来得及消化这巨大的数额差，手机再次震动。,
00,0711,你定睛一看，赫然看到温叙也给你发来了一笔一万元的转账。,
06,0712,一点微末的谢意，请务必收下。,
00,0713,你忍不住按了按突突直跳的太阳穴，只觉得一阵头疼。,
00,0714,下一秒手机又闪烁了一下，许映月的消息又了出来，字里行间都透着惶恐：,
02,0715,我们就是顺手帮了个忙而已，哪能要人家这么多钱，这不成趁火打劫了！,
02,0716,不行不行，还是退给他吧……,
01,0717,收下吧，他也给我转了一万，大概是想买个心安。,
01,0718,咱们要是不收，反而会让他一直记挂着，更过意不去。,
00,0719,你知道温叙不差钱，而且他似乎不喜欢欠人情，所以你切回聊天框收下了那一万，顺道打字回复：,
01,0720,您也别太累了，现在最重要的是照顾好阿姨。,
06,0721,好。,
00,0722,你瞥了一眼病房的门，没有多做停留，转身离开。,
00,0723,【抉择选项】反握住他的手，轻声安抚,
00,0724,指骨间传来的痛感昭示着他的恐惧，你非但没有挣开，反而用另一只手覆住了他的手背。,
01,0725,没事了，阿姨已经脱离危险。你先把自己撑住，阿姨醒来第一眼肯定最想看到你。,0000
00,0726,温叙像被烫到一般在你掌心里又发了一会儿抖，片刻后才找回理智，他偏过头：,
06,0727,是我失态了…… 抱歉。,0000
00,0728,扔下这句带着点退缩意味的道歉，他匆匆跑去和护士核对信息，径直进了病房。,
00,0729,病房的门合上，阻隔了他所有可能泄露的情绪。,
00,0730,……,
00,0731,夜晚，你靠在沙发上，终于收到了他的消息。,
00,0732,隔着屏幕，他又恢复了往日那副进退有度、挑不出错处的体面。,
06,0733,抱歉，刚忙完。今天真的多亏了你和你朋友，医药费是她垫付的吧？麻烦把账单发给我。,
00,0734,你把 827.4 元的账单发过去，他立刻转来了一千元整。,
00,0735,多出来的零头，是他维持社交礼仪的分寸。,
06,0736,麻烦转交给你的朋友，另外，这周末有空吗？我想请你们吃顿饭，当面致谢。,0000
01,0737,叙闻老师客气了，不用这么破费。,
06,0738,我知道对学妹来说是小事，但于我而言确实意义非凡，还望学妹不要推辞。,
00,0739,他的态度很坚决，你推辞不过，只能答应。,
01,0740,好，那等您的消息。,
00,0741,……,
00,0742,【抉择选项】事不关己，远离人群,
00,0743,几乎是在看清状况的瞬间，许映月骨子里的热血就翻涌了起来。,
00,0744,她下意识地想要拉着你挤进人群，却被你一把扣住了。,
00,0745,曾经的你，或许还愿意施以援手。,
00,0746,可看到善意一次次被利用，信任一次次被辜负，你最终还是学会了收起多余的善良，用麻木筑起了保护自己的围墙。,
01,0747,别去。,0000
00,0748,你冲她摇了摇头：,
01,0749,我们没有专业的急救常识，现在这种情况，万一好心办坏事，或者碰上讹人的，到时候怎么扯得清？,0000
00,0750,许映月踮着脚，拼命透过层层叠叠的人墙往里望，可攒动的人头和晃动的手臂完全挡住了她的视线。,
00,0751,她张了张嘴，还想说什么，你却先一步开口宽慰她。,
01,0752,已经有人打 120 了，保安也到了。,0000
00,0753,你扬了扬下巴，示意她看向不远处，两名保安正握着对讲机，快步朝骚动的方向跑来。,
01,0754,专业的事，交给专业的人去做。我们就算冲上去，也大概无济于事。,0000
00,0755,她看着里三层外三层冷漠围观的人群，又看了看坚定的你，肩膀微微一塌，停下了脚步。,
00,0756,你们还是站在盲盒店的货架前，但先前的雀跃与兴致，显然已经被那阵沉闷的骚动彻底冲散。,
00,0757,许映月的手无意识地摆弄着盲盒，眼神却频频飘向门外。,
01,0758,别想了。,0000
00,0759,你轻轻拍了拍她的肩膀，像是在安抚她，又像是在说服自己。,
01,0760,如今这个社会，明哲保身才是正确的选择。,0000
00,0761,许映月低低地叹了口气，没有开口反驳。,
00,0762,那天下午，你们还去吃了原定计划里的冰淇淋，但直到晚上各回各家，一向叽叽喳喳的许映月都出奇的沉默。,
00,0763,夜晚，你洗完澡带着一身水汽走出浴室。,
00,0764,拿起茶几上的手机时，屏幕上正好跳出温叙的消息：,
06,0765,抱歉打扰，我的母亲出了些状况，近期的宣传活动恐怕需要延期。,
00,0766,事情发生的突然，无法趁热打铁固然惋惜，但职业素养让你没有过多探究，只是迅速递出了回应：,
01,0767,没关系的，工作的事不急。,
01,0768,您先安心处理家里的事，如果有什么需要我帮忙的地方，随时开口。,
06,0769,好，感谢理解。,
00,0770,他终究没有找你帮忙。,
00,0771,反倒是你因为担心宣传进度，主动联系过他几次，但他都以自己能处理的理由推拒了。,
00,0772,大概是察觉了你的焦急，他也给出了一个模糊的时间范围，承诺只要熬过这段时间，就会尽快归来履约。,
00,0773,……,
00,0774,深夜，温叙刚照料母亲歇下，自己则坐在病床边的坐椅上，连日的劳累和少眠让他的精神剧烈波动。,
00,0775,他打开手机，聊天界面还停留在和你的对话，屏幕的冷光映照着他憔悴不堪的脸。,
00,0776,他反复咀嚼着你那句 “有什么需要我帮忙的地方，随时开口”，最终还是什么都没有发。,
00,0777,他怎么会不想找你呢？,
00,0778,在母亲被推进抢救室，医生下病危通知书的那个下午，他站在手术室门口，如坠冰窟。,
00,0779,他已经太久没有品味过这般绝望，这些年的生活早已软化了他的意志，让他在那一刻溃不成军。,
00,0780,他的心底只剩下最原始的懦弱与无助，只想拨通那个烂熟于心的号码，,
00,0781,让你来替他做决定，哪怕只是听一听声音也好。,
00,0782,他甚至已经点开了电话联系人，手指都放在了拨号键上。,
00,0783,可最后临门一脚，他还是放弃了。,
00,0784,他怎么能让你看到他这么狼狈的样子？怎么能把你拖进这一团糟的生活里？,
00,0785,所以，他只能将吞下软弱，一遍遍地催眠自己：再撑一撑，撑一撑就好了。,
00,0786,等一切尘埃落定，他依然能像以前一样，从容不迫地与你并肩同行。,
00,0787,为了保持体面，他亲手推开了你的善意。,
00,0788,而你，也在这条命运分岔的轨道上，无从得知他的狼狈与苦痛。,
00,0789,【抉择选项】急中生智，齐心协力,
01,0790,我有办法。,0000
00,0791,你随手将掂了半天的盲盒放回货架，转头与许映月对视一眼。,
00,0792,无需多言，你们都在对方眼中看到了无法置身事外的坚定。,
00,0793,许映月本就是个风风火火的性子，此刻更是化身开路先锋。,
00,0794,她拉着你的手，灵活得像条鱼一样在人群里左冲右突，,
00,0795,硬生生从密不透风的人墙中劈开一条路，转眼就带着你冲到了最前方。,
00,0796,老妇人卧倒在冰冷的地砖上，双目紧闭，呼吸微弱。,
00,0797,你心里一沉，晕厥倒地十有八九会磕到后脑，此时任何不当的搬动都可能酿成无法挽回的后果。,
00,0798,围观的人都远远站着，没人敢贸然移动老人，也没人愿意主动搭把手。,
00,0799,危急关头，你脑海中掠过关于打破 “旁观者效应” 的心理学常识。,
00,0800,在群体事件中，泛泛地呼救只会被互相推诿，必须精确到个人。,
00,0801,你带着能镇住全场的气势，视线依次扫过几位看上去面色和善些的旁观者：,
01,0802,穿黄色衬衣的那位女士！麻烦你现在立刻打 120，地址报天环商场一楼中庭！,0000
01,0803,戴黑框眼镜的先生！请你跑一趟服务台叫保安过来！,0000
01,0804,在场有没有人是医生或者护士？这里有老人突发晕厥，急需专业判断！,0000
00,0805,被指明发派任务的两人仅仅是愣了一下，几乎是条件反射般地掏出手机、转身狂奔。,
00,0806,与此同时，人群外围有人高喊：,
00,0807,让让，让让！我是内科医生！,0000
00,0808,一个穿黑衬衫的男人焦急地挤了进来，你立刻侧身让出施救空间，同时继续控场：,
01,0809,大家配合一下往后退！保持空气流通！,
00,0810,万幸商场马路对面就是医院，仅仅过去三分钟，就有医护人员抬着担架冲了进来。,
00,0811,大家齐心协力，将老人平稳地转移上车，救护车绝尘而去，凝滞的空气重新流动。,
00,0812,人群渐渐散去，你和许映月也做好事不留名地悄悄离开。,
00,0813,经历了这么惊心动魄的一遭，逛街的兴致早就飞到了九霄云外。,
00,0814,两人只觉得饥肠辘辘、脚步虚浮，直奔附近常去的那家川菜馆。,
00,0815,饭桌上，你们一边扒着饭，一边笑闹着互相吹捧彼此的英勇表现。,
00,0816,许映月手舞足蹈地模仿着你指挥人群的样子，逗得你差点把饭喷出来。,
00,0817,正闹着呢，你们的共友突然打来电话，语气激动：,
00,0818,你们可真行啊，看看热搜吧两位大红人！,
00,0819,你们俩对视一眼，赶紧掏出手机刷热搜。,
00,0820,好家伙，“天环商场上演教科书式救援” 直接挂在热搜第一，后面还跟着个明晃晃的 “爆” 字。,
00,0821,点进去一看，原来是围观的路人把当时救援的视频发了出去。,
00,0822,视频里，许映月拨开人群、你分配任务的画面，迅速被各大媒体号转发，网友们纷纷在底下点赞评论。,
00,0823,而此时，医院空荡冷清的走廊里。,
00,0824,温叙靠在墙上，屏幕的幽光映着他疲惫的脸。,
00,0825,他一遍又一遍地循环播放着热搜视频，看着画面里那个在危难关头挺身而出的你，,
00,0826,心底那些压抑了九年的、名为爱意与贪恋的情绪，正以一种排山倒海的姿态翻涌，再也无法被理智压制。,
00,0827,他盯着和你的对话框，不再犹豫：,
06,0828,抱歉这么晚打扰你，我刚刚刷到了今天商场救援的视频，才知道是你们救了我母亲。,
06,0829,今天的事万分感谢，如果不是你组织大家帮忙，我真的不敢想会发生什么……,
06,0830,医生说送医非常及时，母亲已经脱离危险了，是你们抢回了最宝贵的黄金时间。,
06,0831,等她情况稍微稳定，请务必给我一个机会，当面向你和你的朋友道谢。,
00,0832,你也没想到随手救下的竟是温叙的妈妈，有些讶异。,
00,0833,但转念又觉得，这世界有时候就是这么奇妙，看似毫无交集的人和事，总会在某个节点不期而遇。,
01,0834,叙闻老师不用这么客气，我们只是做了应该做的事。,
01,0835,阿姨没事就太好了，你这段时间肯定很辛苦，一定要照顾好自己，当面道谢就不必了。,
06,0836,不，这对我来说意义重大，请务必给我这个机会。等我母亲情况稳定一些，我再联系你们。,
00,0837,你看着他坚持的语气，也不好再推辞。,
01,0838,好，那您先忙。,
00,0839,……,
