角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,031,你顿了顿，又补了一句,
01,032,“你不用有负担，我会照常结算。去买瓶水，找个阴凉的地方歇一会儿吧。”,
00,033,你准备按下挂断键，但就在你的手指即将触碰到屏幕的那一刻,
03,034,“老板！等等……”,0000
00,035,你停住了动作，但那头陷入的沉默几乎让你以为已经挂断了,
00,036,过了好一会儿，你听到他像是脱力一般，顺着墙壁滑坐下去的摩擦声,
00,037,当他再次开口时，那层完美服务者的坚硬外壳已经彻底粉碎,
00,038,他的声音带着一种生怕被拒绝的小心翼翼，甚至透出一丝不易察觉的哀求,
03,039,“……可以不挂吗？就十分钟。我可以把钱退给你……我只是，现在真的很想再听听你的声音。”,0000
00,040,左右现在也没什么急事，你没有接受，也没有拒绝,
00,041,在你的不带评判、充满包容的沉默里，他安静了下来,
00,042,过了大概两分钟，他的声音才再次响起，比之前稳了一些，但依然带着一种不加掩饰的疲惫,
03,043,“老板你不用给我结算。”,0000
00,044,他的声音很轻，像是在自言自语,
03,045,“我刚才什么都没做，光听你说话了。不对，现在是你听我说了。”,0000
00,046,你坐在公园的长椅上，阳光透过银杏叶的缝隙，在你的手背上投下斑驳的光影,
00,047,他好像有点语无伦次，或许需要你适时地引导话题。你想了想，随口一问,
01,048,“时安，你在哪里兼职？”,0000
00,049,在你的引导下，他慢慢平复了呼吸，开始断断续续地说起自己的生活,
00,050,“物流园的兼职、学校图书馆的整理工作、给初中生补课的周末。三份工，日结，不耽误上课。”,
00,051,你说不清自己是什么感觉，大概是一种敬意,
01,052,“平时都看什么书？”,
03,053,“啊？”,0000
01,054,“你说图书馆的活儿能顺便看书，你都看什么？”,
00,055,他没想到你会问这个问题，沉默了一下，似乎停下了手头的工作开始回想,
03,056,“最近在看《被讨厌的勇气》，里面有一句话我记了很久——‘重要的不是被给予了什么，而是如何去利用被给予的东西’。”,0000
00,057,他说这句话的时候，声音里有一种很深的确认感，像是溺水的人终于抓住了一根浮木,
01,058,“或许另外一本书也很适合你。”,
03,059,“哪本？”,0000
01,060,“维克多・弗兰克尔的《活出生命的意义》”,
01,061,“‘人所拥有的任何东西，都可以被剥夺，唯独人性最后的自由，选择自己态度和生活方式的自由，不能被剥夺’。”,
00,062,电话那头安静了很久，才听到他很轻很轻的答复声,
03,063,“……我记住了，谢谢。”,0000
00,064,你无意深入了解他的遭遇抑或是境遇，但没有谁是一座孤岛,
00,065,千百小时的倾听，可能他自己也没意识到，他也想被听到,
00,066,【抉择选项】意有所指的回复,
00,067,你靠在长椅上，树上的银杏叶从你眼前飘落,
01,068,“你能靠自己打三份工攒学费，说明你已经具备了独立生存的能力。不要回头看那些不值得的人和事，向前走就是了。”,
00,069,不知又是触发了他什么回忆，呼吸声明显急促了片刻，随后，他长长地呼出一口气,
03,070,“你说得对，只有攥在自己手里的未来才是真的。老板，谢谢你。”,0000
00,071,他的声音褪去了脆弱，重新变得坚定,
01,072,“嗯，去吧。”,
00,073,挂断电话后，你收到了平台退款到账的通知，还有时安发过来的红包,
03,074,备注是：感谢老板的倾听，一点小小的心意，还请收下。,0000
00,075,你没有跟他客气，点开收了,
00,076,一方面，这是你应得的。另一方面，你也知道，这是他的方式,
00,077,他不习惯被给予，在平等的关系中能找到一点安全感，接受他的好意，才是对他的尊重,
00,078,【抉择选项】给予情感上的回应,
00,079,你听着他的话，风从湖面上吹过来，带着水汽的凉意,
00,080,你开口，声音比平时轻了一些,
01,081,“你不需要向我道谢，我不知道你的过去，但能在那种环境里靠自己走出来，时安，你已经比大多数人都厉害了。”,0000
00,082,又是一段长时间的静默，你下意识看了看手机，确认电话没有挂断,
00,083,片刻后他的声音再次响起时，不知是不是错觉，你感觉他的声音有些哽咽,
03,084,“……从小到大，从来没有人对我说过这些。”,0000
01,085,“好好生活，比什么都重要。”,
00,086,他很轻的应了一声,
03,087,“好。”,0000
00,088,风再次掠过枝头，带起一阵轻响，刚刚翻涌的情绪被悄悄藏进了沉默里,
