角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,028,当他吃到网红摊位上味道不错的海盐冰淇淋时，眼底会流露出真实的满足感,
00,029,这种充满生命力的鲜活感，让习惯了做观察者的你，也不自觉地卸下了防备,
00,030,你发现，和他呆在一起的时候，你不需要想太多,
00,031,他会在你犹豫的时候给出建议，在你累了的时候找到长椅，在你举起相机的时候默默退到一边,
00,032,他不会问 “你在拍什么”“为什么要拍这个”，他只是给你空间，让你做你想做的事,
00,033,这是一种很奇怪的默契，你们认识的时间不长，但相处起来，像是已经磨合了很久,
00,034,夕阳落下时，素材已经录制得差不多了,
00,035,作为游玩的最后一站，你们坐上了游乐园的摩天轮,
00,036,轿厢不大，两个人面对面坐着，膝盖几乎要碰到一起,
00,037,随着轿厢缓缓升空，游乐园的喧嚣被渐渐远离,
00,038,那些尖叫声、音乐声、广播声，都变成了模糊的背景音，越来越远，越来越轻,
00,039,夕阳的余晖透过玻璃洒进轿厢，为他的侧脸镀上了一层温柔而深邃的金边,
00,040,他的睫毛很长，在脸颊上投下一小片阴影。他看着窗外逐渐缩小的建筑，神情很安静，安静得让你觉得他此刻在想很多事,
00,041,他转过头看着你，眼里倒映着细碎的光,
03,042,“其实从小到大，都没人带我来过游乐园。”,0000
00,043,这是一个引子，你看着他，静静地听,
00,044,他讲了很多他的过去，像是要把自己完全展示给你看,
00,045,他的眼里不再有雇佣关系的讨好，只有成年人之间率真且坦诚的直白，他微微倾身,
00,046,距离拉近的时候，你能闻到他身上那股干净的、属于秋日草木的清冽气息,
03,047,“我知道你很成熟、很强大，不需要依赖任何人。我没资格说保护你这种不自量力的大话……”,0000
00,048,他的声音放得很慢，像是在斟酌每一个字的分量,
03,049,“但是，我想试着跨出那条边界。我想成为你在这个世界上，可以偶尔卸下防备的、能随时依靠的底牌。”,0000
00,050,摩天轮升到了最高点，整个城市的轮廓在你脚下展开，夕阳把一切都染成了金红色,
00,051,你看着他，他的眼睛里倒映着夕阳的光，还有你的影子,
00,052,【抉择选项】拒绝，止步友情,
00,053,他还是把藏在心底的话说出来了，对此你并不感到意外,
00,054,他的表情很认真，认真到你能看见他下颌线因为紧张而微微发紧,
00,055,但你并不觉得那是可以被称为 “喜欢” 的感情，他对你或许只是一种依赖，而这种依赖在见到你之后落到了实处,
00,056,虽然被他的真诚打动，但理智依然牢牢占据着上风,
00,057,虚拟的陪伴很完美，但现实的羁绊太沉重，更何况现实中还有诸多要考虑的因素,
01,058,“你还年轻，可能是刺激项目带来的吊桥效应，让你错把乱了拍子的心跳当成了心动。”,0000
00,059,你故意用了吊桥效应这个词，一个心理学名词，足够冷静理性，足够把这段对话拉回到分析的层面,
01,060,“虚拟和现实是两回事，我们还是做朋友吧。”,0000
00,061,说到朋友二字的时候，你特意把重音放在了后面，这是你能给的最大限度,
00,062,他的眼睛暗了一下，像是一盏灯被轻轻关上。他垂下眼眸，睫毛在脸颊上投下一片阴影,
00,063,他沉默了几秒，然后他抬起头，对你笑了笑,
00,064,那个笑容里没有委屈，没有不甘，只有一种克制的、不想让你为难的温柔,
03,065,“对不起，是我冒昧了。既然是你的决定，我接受。能以朋友的身份陪着你，我已经很知足了。”,0000
00,066,摩天轮开始下降。城市的轮廓从眼前慢慢滑过，夕阳的光线变成了更深的橘红色,
00,067,他站起来，帮你拿起设备包，动作还是那么妥帖，还是那么自然,
03,068,“天黑了，你回家路上千万当心。”,0000
00,069,你们在游乐园门口分道扬镳，夜风带着一丝凉意掠过，吹起你的头发,
00,070,你回头看了一眼，他站在原地，安静地望着你的背影,
00,071,没有追上来。没有再多说一句打扰的话,
00,072,那份被你推开的心意，他妥帖收好，没有半分怨怼，只剩无声的体谅,
00,073,你转过身，继续往前走,
00,074,你压下心底片刻的酸涩，那酸涩来得莫名其妙，你甚至分不清是什么情感,
00,075,但你更清楚，理智的拒绝才是对两个人最负责的答案,
00,076,有些心动适合停留在屏幕那头，有些陪伴，止步于朋友才最长久,
00,077,【抉择选项】接受，关系升华,
00,078,你看着他因为紧张而微微发紧的下颌线，以及那双执着专注的眼睛,
00,079,他对你的情感很微妙特别，你们的接触不多不少，没有夸张到一见钟情，也没有长久到细水长流,
00,080,但是相处时的舒适合拍，确实也让你重新审视起你们之间的关系，你似乎也并不排斥生活中多一个合拍的搭档,
00,081,面对这份赤诚直白，你决定允许自己感性一次,
01,082,“想要成为我的底牌，门槛可是很高的。”,0000
00,083,你故意停顿了一下，语气拖长,
00,084,肉眼可见地，那双原本充满希冀的清澈眼眸，因为你这句看似拒绝的话，瞬间黯淡了,
00,085,他的瞳孔微微收缩，连脊背都微微僵硬，像是一棵被风吹弯了的树，在等一个宣判,
00,086,看到他的沮丧，你才把后半句说完,
01,087,“但…… 试试看吧，看看真实的你，能不能接得住我。”,0000
00,088,话音刚落，他的眼底瞬间绽放出难以置信的光芒,
00,089,那光芒太亮了，亮得盖住了夕阳,
00,090,他张了张嘴，像是想说什么，但喉咙像是被什么堵住，他的呼吸停滞了一瞬，你看见他的胸口起伏了一下，然后停住了,
00,091,他没有做出任何逾矩的动作，没有扑过来，没有激动地抓住你的手,
00,092,他只是极其郑重地伸出手，将你轻轻拥入怀中,
00,093,那个拥抱很轻，轻到你能感觉到他在控制自己的力道。他浑身都在发抖，但他的手臂只是松松地环着你，像捧着一件易碎品,
00,094,不带任何情欲，却充满了一种令人心悸的坚定,
00,095,然后他的声音从你头顶传来，沙哑的，带着一丝颤抖,
03,096,“谢谢……谢谢。”,0000
00,097,他只说了这两个字，但这两个字里，藏了他过去二十三年所有的委屈、孤独和不被看见,
00,098,摩天轮开始下降，城市的灯光一盏一盏地亮起来，像地上的星星,
00,099,他松开你的时候，耳尖红了一片。他别过头，假装看窗外的风景，但玻璃上倒映出的他的脸，嘴角是弯着的,
00,100,从摩天轮上下来的时候天已经擦黑，时间不早了，你催促他早些回学校,
00,101,他却执意要把你先送回家，美其名曰太晚了一个人不安全,
00,102,你哭笑不得，这么多年来你一直如此，但如今不再是一个人，也就没有拂了他的意,
00,103,电梯门关上的那一刻，你的手机震了一下。你低头一看，是他的消息,
03,104,“今天是我这辈子最开心的一天。”,0000
00,105,你盯着那行字看了几秒，然后随手回了几个字,
01,106,“明天会更开心。”,0000
00,107,发出去之后，你觉得自己好像说了什么了不得的话，想撤回但已经来不及了,
03,108,“那我可以期待一下明天吗？”,0000
01,109,“嗯。”,0000
00,110,你把手机息屏放进口袋，窗外城市的灯火一盏一盏地亮着,
00,111,你靠着窗，看着远处的霓虹，觉得今晚的夜色，格外温柔,
