##Id	NextId	NodeType	SpeakerName	DialogText	CharacterActionsJson	ChoicesJson	TargetGraphName	RewardsJson	BgmPath	SePath	PerformanceKey	BackgroundPath	VoicePath
##int	int	int	string	string	string	string	string	string	string	string	string	string	string
##编号	下一句ID	类型(0对话1选项2跳转3奖励)	说话人	台词	动作配置	选项配置	目标图名称	奖励配置	背景音乐	音效	动画效果Key	背景图	语音
10034	10035	0		电梯到了，你走出去，他在身后说“慢走。”									
10035	10036	0		这就是全部的交流									
10036	10037	0		你不需要和邻居成为朋友，只要不互相打扰就好									
10037	10038	0		你的生活就是这样，没有大风大浪，没有惊心动魄，没有让人羡慕的传奇故事，但你很喜欢它									
10038	10039	0		你养了一只猫，橘色的，每天除了吃就是睡									
10039	10040	0		你给它取名叫“咪咪”，很敷衍，但不影响你很爱它									
10040	10041	0		每天晚上你剪视频的时候，它就趴在你的键盘旁边，尾巴一甩一甩的，偶尔用脑袋蹭你的手									
10041	10042	0		你会停下来摸它两下，它发出咕噜咕噜的声音，你也觉得安心									
10042	10043	0		你租的房子不大，但被你布置得很舒服。沙发上有毯子和抱枕，书架上有你看了一半的书，冰箱里有你周末囤的食材									
10043	10044	0		你会做饭，虽然只是简单的家常菜，偶尔会叫许映月来家里吃									
10044	10045	0		她每次都会带一瓶酒，然后你们两个喝到微醺，躺在地毯上聊天，聊到深夜									
10045	10046	0		你从来没有想过要成为什么了不起的人，你只想把每一天过好。把视频做好，把猫喂好，把自己照顾好									
10046	10047	0		你知道这个世界上有很多优秀的人，他们光芒万丈、呼风唤雨。但你也知道，那不是你的路									
10047	10048	0		你的路是这条安静的、铺满落叶的巷子									
10048	10049	0		没有太多人走，但你走得踏实									
10049	10050	0		你拥有一份稳稳当当的幸福，账号稳步涨粉，从一千到一万，从一万到五万									
10050	10051	0		你的商业合作越来越多，但你还是坚持只接自己用过的、真心觉得好的产品									
10051	10052	0		这是你的底线，也是你和粉丝之间的信任									
10052	10053	0		某个普通的周二晚上，你剪完了新一期的视频，按下了发布键。屏幕上的进度条走完，显示“已发布”									
10053	10054	0		你伸了个懒腰，咪咪从桌面上跳下来，跑到食盆前开始吃夜宵									
10054	10055	0		你拿起手机，给许映月发了一条消息：									
10055	10056	0		“周末去新开的那家泰餐？”									
10056	10057	0		她秒回：									
10057	10058	0		“去去去！我想吃咖喱蟹！”									
10058	10059	0		你回了一个“OK”的表情，然后锁屏，关灯，躺进被子里									
10059	10060	0		咪咪跳上床，在你脑袋旁蜷成一团。你闭上眼睛，听着它均匀的呼噜声，慢慢沉入睡眠									
10060	10061	0		明天又是普通的一天，你还有很多视频要剪，很多选题要想，很多回复要写									
10061	10062	0		但你不急，因为你知道，日子就是这样一天一天过下去的									
10062	10063	0		不需要成为谁，只需要成为自己									
10063	0	0		这就是你的结局，不是轰轰烈烈的那种									
