角色编号,台词编号,台词 / 旁白文本,立绘 / 动作提示
00,019,但他没有躲开，因为 “五十万” 和 “烂账” 这两个词，像两根淬了毒的钉子，死死地将他的双脚钉在原地,
00,020,他的脊背在那一瞬间似乎佝偻了下去，原本试图维持的最后一丝尊严，在抛出的价码面前，显得如此可笑且不堪一击,
00,021,他缓缓闭上眼睛，仿佛是在等待命运的最终宣判,
00,022,在这个物欲横流的城市里，每个人都有自己的深渊，你不是救世主，更没有兴趣去拯救一个试图将自己明码标价的灵魂,
00,023,但富商将人视为玩物的傲慢，以及何行舟眼底即将死去的微光，确实令人反感,
00,024,你从阴影中走了出去，靴子在大理石地板上敲击出清脆且极具压迫感的节奏,
00,025,你举起手机，摄像头对准了那个正在纠缠的富商,
01,026,“打扰一下二位，我刚才在录制一些素材，好像不小心录到了一些不太符合《治安管理处罚法》的画面。”,0000
00,027,你的声音不大，却透着一股不容置疑的冷冽。富商和何行舟同时愣住，齐齐看向你,
02,028,“你谁啊？！敢管我的闲事？知道我是谁吗，信不信我让你在这座城市混不下去！”,0000
01,029,“我不需要知道您是谁，刘先生。但我刚好认识本市几个头部八卦公众号的主编。”,
01,030,“如果您觉得视频内容不够劲爆，我不介意一会儿就帮您润色发过去。”,0000
00,031,你似笑非笑地看着他，这种程度的威胁对你来说不算什么。毕竟在圈子里混的生意人，最怕的就是舆论和身败名裂,
00,032,那位刘总的脸色瞬间变得极其难看，红白交加。他恶狠狠地瞪了你一眼，又看了看你手里亮着屏幕的手机，最终狠狠地啐了一口,
02,033,“算你狠！真他爹晦气！”,0000
00,034,他冷哼了一声，怒气冲冲地离开了,
00,035,何行舟用手背狠狠地擦着刚才被男人碰过的脸颊，直到把那块皮肤擦得通红,
00,036,他转过头，用一种极其复杂、充满戒备和探究的眼神看着你,
00,037,对于这种在欢场摸爬滚打、见惯了人情冷暖的人来说，他们从不相信无缘无故的善意,
00,038,在剧本里，赶走一匹恶狼的，往往是另一只想要独吞猎物的猛虎,
03,039,“谢谢这位姐姐英雌救帅～”,0000
00,040,他突然勾起唇角，露出了一个极具攻击性的、玩世不恭的笑。他单手插在西裤口袋里，迈着修长的双腿，一步步向你逼近,
00,041,直到他身上那股混合酒精的气味几乎要将你包围，才停下,
03,042,“赶走了我的大金主……姐姐是在欲擒故纵吗？还是说，你看上了我，想用这种方式让我报答你？”,0000
00,043,他微微俯身，眼神里满是恶劣的挑衅与试探。他在试图用这种轻浮的言语来激怒你,
00,044,或者揭开你虚伪的善意面具，证明你和刚才那个老男人其实是一丘之貉,
00,045,你看着他满脸戒备、浑身是刺的模样，只觉得眼下的局面有些荒诞,
00,046,你没有后退，只是平静地看向他的眼睛，语气听不出太多情绪,
01,047,“如果我说是呢？”,0000
00,048,他的眼中立刻掠过一丝了然与抵触，正要开口，被你先一步打断,
01,049,“不过我看人，只看合不合眼缘，不在乎别的。刚才那个人实在让人不舒服，至于你……”,0000
00,050,你的目光淡淡扫过他，神色平静，并无冒犯之意,
01,051,“样子是不错，但我更欣赏有自己底线的人。”,0000
00,052,何行舟猛地一怔。他惯常的伪装与防备，在你这种不按套路的态度下忽然失效,
00,053,他一时有些无措，显然没料到会是这样的回应,
00,054,你无意与他再纠缠什么，转身就走,
00,055,于你而言，这不过是街头偶然发生的一段小插曲，过后便不会再放在心上,
00,056,面对他带着挑衅与偏见的揣测，你内心并没有太大波澜,
00,057,你不喜欢被人误解，更不喜欢被强行安上某种不怀好意的动机,
00,058,你平静地后退半步，与他拉开一段让自己舒服的距离，然后随手将手机锁屏、放回口袋，动作自然而淡漠,
01,059,“别把你的那套想法套在我身上，你要怎么过活，要怎么选择自己的路，那都是你自己的事，与我无关。”,0000
01,060,“但我不接受被你这样随意揣测，就此别过。”,0000
00,061,你没有尖锐的嘲讽，也没有刻意伤人，只是清晰地划清了界限,
00,062,却正因这种毫不在意的疏离，反而比激烈的斥责更让人无地自容,
00,063,他僵在原地，脸上那点故作轻松的笑意瞬间凝固，再也维持不住。他张了张嘴，却一句话也说不出来,
00,064,你没有再看他，也没有多余停留，转身径直离开,
